Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

12:51:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:51:26 AM  all    0.13    0.00    9.01    0.00    0.00   11.14    0.00    0.00    0.00   79.72
12:51:26 AM    0    0.00    0.00   36.36    0.00    0.00   41.41    0.00    0.00    0.00   22.22
12:51:26 AM    1    0.99    0.00   35.64    0.00    0.00   40.59    0.00    0.00    0.00   22.77
12:51:26 AM    2    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
12:51:26 AM    3    0.00    0.00    0.00    0.00    0.00    3.03    0.00    0.00    0.00   96.97
12:51:26 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:26 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:26 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:26 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:51:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:51:27 AM  all    0.12    0.00   11.61    0.00    0.37   14.36    0.00    0.00    0.00   73.53
12:51:27 AM    0    0.99    0.00   45.54    0.00    0.99   52.48    0.00    0.00    0.00    0.00
12:51:27 AM    1    0.00    0.00   47.00    0.00    1.00   52.00    0.00    0.00    0.00    0.00
12:51:27 AM    2    0.00    0.00    0.00    0.00    1.00    5.00    0.00    0.00    0.00   94.00
12:51:27 AM    3    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
12:51:27 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:27 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:27 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:27 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:51:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:51:28 AM  all    0.12    0.00   11.50    0.00    0.12   14.37    0.00    0.00    0.00   73.88
12:51:28 AM    0    0.00    0.00   46.46    0.00    0.00   53.54    0.00    0.00    0.00    0.00
12:51:28 AM    1    1.00    0.00   46.00    0.00    0.00   53.00    0.00    0.00    0.00    0.00
12:51:28 AM    2    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
12:51:28 AM    3    0.00    0.00    0.00    0.00    0.99    4.95    0.00    0.00    0.00   94.06
12:51:28 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:28 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:28 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:28 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:51:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:51:29 AM  all    0.13    0.00   11.54    0.00    0.13   14.18    0.00    0.00    0.00   74.03
12:51:29 AM    0    0.99    0.00   45.54    0.00    0.99   52.48    0.00    0.00    0.00    0.00
12:51:29 AM    1    0.00    0.00   46.46    0.00    0.00   53.54    0.00    0.00    0.00    0.00
12:51:29 AM    2    0.00    0.00    0.00    0.00    0.00    4.04    0.00    0.00    0.00   95.96
12:51:29 AM    3    0.00    0.00    0.00    0.00    0.00    3.06    0.00    0.00    0.00   96.94
12:51:29 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:29 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:29 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:29 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:51:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:51:30 AM  all    0.00    0.00   11.61    0.00    0.25   14.48    0.00    0.00    0.00   73.66
12:51:30 AM    0    0.00    0.00   46.00    0.00    0.00   53.00    0.00    0.00    0.00    1.00
12:51:30 AM    1    0.00    0.00   47.00    0.00    1.00   52.00    0.00    0.00    0.00    0.00
12:51:30 AM    2    0.00    0.00    0.00    0.00    0.99    5.94    0.00    0.00    0.00   93.07
12:51:30 AM    3    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
12:51:30 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:30 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:30 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:30 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:51:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:51:31 AM  all    0.12    0.00   11.49    0.00    0.37   14.61    0.00    0.00    0.00   73.41
12:51:31 AM    0    0.00    0.00   46.00    0.00    1.00   53.00    0.00    0.00    0.00    0.00
12:51:31 AM    1    0.99    0.00   45.54    0.00    0.99   52.48    0.00    0.00    0.00    0.00
12:51:31 AM    2    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
12:51:31 AM    3    0.00    0.00    0.00    0.00    1.00    6.00    0.00    0.00    0.00   93.00
12:51:31 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:31 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:31 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:31 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:51:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:51:32 AM  all    0.00    0.00   11.65    0.00    0.00   14.41    0.00    0.00    0.00   73.93
12:51:32 AM    0    0.00    0.00   46.00    0.00    0.00   54.00    0.00    0.00    0.00    0.00
12:51:32 AM    1    0.00    0.00   46.53    0.00    0.00   52.48    0.00    0.00    0.00    0.99
12:51:32 AM    2    0.00    0.00    0.00    0.00    0.00    4.08    0.00    0.00    0.00   95.92
12:51:32 AM    3    0.00    0.00    0.00    0.00    0.00    4.04    0.00    0.00    0.00   95.96
12:51:32 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:32 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:32 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:32 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:51:32 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:51:33 AM  all    0.12    0.00   11.61    0.00    0.25   14.61    0.00    0.00    0.00   73.41
12:51:33 AM    0    0.99    0.00   46.53    0.00    0.99   51.49    0.00    0.00    0.00    0.00
12:51:33 AM    1    0.00    0.00   46.46    0.00    0.00   53.54    0.00    0.00    0.00    0.00
12:51:33 AM    2    0.00    0.00    0.00    0.00    0.99    5.94    0.00    0.00    0.00   93.07
12:51:33 AM    3    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
12:51:33 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:51:33 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
